Route ID,Route Description,Route Description Marathi,Kilometer
176-D,Mahammad Wadi To Swargate  ,महंमदवाडी ते स्वारगेट,12.1
176-U,Swargate To Mahammad Wadi,स्वारगेट ते महंमदवाडी,12.1
177A-D,Azadnagar To Vishrantwadi,आझाद नगर ते विश्रांतवाडी,18.4
177A-U,Vishrantwadi To Azadnagar,विश्रांतवाडी ते आझाद नगर,18.4
177B-D,Siddharthnagar To Pune Station,सिध्दार्थनगर ते पुणे स्टेशन,9.7
177B-U,Pune Station To Siddharthnagar,पुणे स्टेशन ते सिध्दार्थनगर,9.7
177-D,Salunke Vihar To Pune Station,साळुंकेविहार ते पुणे स्टेशन,9.2
177D-D,Azadnagar To Pune Station,आझाद नगर ते पुणे स्टेशन,9.5
177D-U,Pune Station To Azadnagar,पुणे स्टेशन ते आझाद नगर,9.5
177K-D,Krushnanagar Mohammadwadi To Pune Station,कृष्णा नगर ते पुणे स्टेशन,10.9
177K-U,Pune Station To Krushnanagar Mohammadwadi,पुणे स्टेशन ते कृष्णा नगर,10.9
177M-D,Mahammad Wadi To Pune Station,महंमदवाडी ते पुणे स्टेशन,13.3
177M-U,Pune Station To Mahammad Wadi,पुणे स्टेशन ते महंमदवाडी,13.3
177-U,Pune Station To Salunke Vihar,पुणे स्टेशन ते साळुंकेविहार,9.2
179A-D,Vadachiwadi To Hadapsar Gadital,वडाची वाडी ते हडपसर गाडीतळ,9.6
179A-U,Hadapsar Gadital To Vadachiwadi,हडपसर गाडीतळ ते वडाची वाडी,9.6
179-D,Vadachiwadi To swargate,वडाची वाडी ते स्वारगेट,14.2
179-U,Swargate To Vadachiwadi,स्वारगेट ते वडाची वाडी,14.2
17A-D,Narhegaon To Natraj Stand,नऱ्हे आंबेगांव ते नटराज,11
17A-U,Natraj Stand To Narhegaon,नटराज ते नऱ्हे आंबेगांव,11
17B-D,Shaniwarwada Stand To Swargate,शनिवारवाडा स्‍टॅण्ड ते स्वारगेट,2.8
17B-U,Swargate To Shaniwarwada Stand,स्वारगेट ते शनिवारवाडा स्‍टॅण्ड,2.8
17-D,Narhegaon To Shaniwarwada,नऱ्हे आंबेगांव ते शनिवारवाडा,13.2
17-U,Shaniwarwada To Narhegaon,शनिवारवाडा ते नऱ्हे आंबेगांव,13.2
180-D,Bhekrainagar To Na Ta Wadi,भेकराई नगर ते नतावाडी,15.5
