Route ID,Route Description,Route Description Marathi,Kilometer
70B-U,Kothrud Depo To Shasakiya Vishramgruha Paudgaon,कोथरुड डेपो ते शासकीय विश्रामगृह पौंडगांव,22
70C-D,Sheregaon To Kothrud Depo,शेरेगांव ते कोथरुड डेपो,27.3
70C-U,Kothrud Depo To Sheregaon,कोथरुड डेपो ते शेरेगांव,27.3
70-D,Sheregaon To Deccan Gymkhana,शेरेगांव ते डेक्कन जिमखाना,33.3
70-U,Deccan Gymkhana To Sheregaon,डेक्कन जिमखाना ते शेरेगांव,33.3
71-D,Sukhsagarnagar To Kothrud Depot,सुखसागर नगर ते कोथरुड डेपो,14.3
71-U,Kothrud Depot To Sukhsagarnagar,कोथरुड डेपो ते सुखसागर नगर,14.3
72A-D,Swargate To Upper Depo,स्वारगेट ते अप्पर डेपो,5.2
72A-U,Upper Depo To Swargate,अप्पर डेपो ते स्वारगेट,5.2
72-D,Kondhwagate To Upper Depot,कोंढवा गेट ते अप्पर डेपो,20.9
72-U,Upper Depot To Kondhwagate,अप्पर डेपो ते कोंढवा गेट,20.9
73-D,Kothrud Depot To Hadapsar Gadital,कोथरुड डेपो ते हडपसर गाडीतळ,18.7
73-U,Hadapsar Gadital To Kothrud Depot,हडपसर गाडीतळ ते कोथरुड डेपो,18.7
75-D,Vidyanagar To Deccan Gymkhana,विद्यानगर ते डेक्कन जिमखाना,13.5
75-U,Deccan Gymkhana To Vidyanagar,डेक्कन जिमखाना ते विद्यानगर,13.5
76-D,  Upper Depot To Kumbare Park,अप्पर डेपोते कुंबरेपार्क,13.8
76-U,Kumbare Park To Upper Depot,कुंबरेपार्क ते अप्पर डेपो,13.8
77-R,Warje Malwadi To Warje Malwadi,वारजे माळवाडी ते वारजे माळवाडी,24.5
78A-D,Warje Malwadi To Marketyard,वारजे माळवाडी ते मार्केटयार्ड,14.2
78A-U,Marketyard To Warje Malwadi,मार्केटयार्ड ते वारजे माळवाडी,14.2
78-D,Kondhwagate To Marketyard,कोंढवा गेट ते मार्केटयार्ड,19.1
78-U,Marketyard To Kondhwagate,मार्केटयार्ड ते कोंढवा गेट,19.1
79B-U,Kothrud Depo To Ghotawade Phata,कोथरुड डेपो ते घोटावडे फाटा,13.9
79C-D,Deccan Gymkhana To Kothrud Depo,डेक्कन जिमखाना ते कोथरुड डेपो,6
79C-U,Kothrud Depo To Deccan Gymkhana,कोथरुड डेपो ते डेक्कन जिमखाना,6
79-D,Mugawade To Deccan Gymkhana,मुगावडे ते डेक्कन जिमखाना,29.9
79D-D,Deccan Gymkhana To Warje Malwadi,डेक्कन जिमखाना ते वारजे माळवाडी,7.9
79D-U,Warje Malwadi To Deccan Gymkhana,वारजे माळवाडी ते डेक्कन जिमखाना,7.9
79-U,Deccan Gymkhana To Mugawade,डेक्कन जिमखाना ते मुगावडे,29.9
7A-D,Uruli Kanchan To Hadapsar Gadital,ऊरूळी कांचन ते हडपसर गाडीतळ,20.8
7A-U,Hadapsar Gadital To Uruli Kanchan,हडपसर गाडीतळ ते ऊरूळी कांचन,20.8
7B-D,Manjari Kh To Hadapsar Gadital,मांजरी खुर्द ते हडपसर गाडीतळ,8.3
7B-U,Hadapsar Gadital To Manjari Kh,हडपसर गाडीतळ ते मांजरी खुर्द,8.3
7-D,Uruli Kanchan To Sarasbaug,ऊरूळी कांचन ते सारसबाग,31.5
7-U,Sarasbaug To Uruli Kanchan,सारसबाग ते ऊरूळी कांचन,31.5
80A-D,Aditya Garden City To Ma Na Pa,आदित्यनगर गार्डन सिटी ते मनपा,12.3
80A-U,Ma Na Pa To Aditya Garden City,मनपा ते आदित्यनगर गार्डन सिटी,12.3
80B-D,Popularnagar To Ma Na Pa,पॉप्युलर नगर ते मनपा,9.5
80B-U,Ma Na Pa To Popularnagar,मनपा ते पॉप्युलर नगर,9.5
80-D,Cipla Center To Ma Na Pa,सिप्ला सेंटर ते मनपा,10.7
80-U,Ma Na Pa To Cipla Center,मनपा ते सिप्ला सेंटर,10.4
81-D,Pune Station To Kumbare Park,पुणे स्टेशन ते कुंबरेपार्क,12.9
81-U,Kumbare Park To Pune Station,कुंबरेपार्क ते पुणे स्टेशन,12.9
82A-D,Ma Na Pa To Warje Malwadi,मनपा ते वारजे माळवाडी,9.9
82A-U,Warje Malwadi To Ma Na Pa,वारजे माळवाडी ते मनपा,9.9
82B-D,Kondhwagate To Kothrud Stand,कोंढवा गेट ते कोथरुड स्टॅन्ड,9
82C-U,Kondhwagate To Warje Malwadi,कोंढवा गेट ते वारजे माळवाडी,5.6
82D-U,Kothrud Depo To Kondhwagate,कोथरुड डेपो ते कोंढवा गेट,23.6
82E-U,Kondhwagate To Ma Na Pa,कोंढवा गेट ते मनपा,16.4
82-R,Kondhwagate To Kondhwagate,कोंढवा गेट ते कोंढवा गेट,30.8
84A-D,Kondhur Phata To Deccan Gymkhana,कोंढूर फाटा ते डेक्कन जिमखाना,37.4
84A-U,Deccan Gymkhana To Kondhur Phata,डेक्कन जिमखाना ते कोंढूर फाटा,37.4
84B-U,Kothrud Stand To Sangrun,कोथरुड स्टॅन्ड ते सांगरुण,24.5
84C-D,Kondhur Phata To Kothrud Stand,कोंढूर फाटा ते कोथरुड स्टॅन्ड,33.5
84C-U,Kothrud Stand To Kondhur Phata,कोथरुड स्टॅन्ड ते कोंढूर फाटा,33.5
84-D,Sangrun To Deccan Gymkhana,सांगरुण ते डेक्कन जिमखाना,28.4
84-U,Deccan Gymkhana To Sangrun,डेक्कन जिमखाना ते सांगरुण,28.4
85A-U,Khothrud Stand To Mohakarwadi,कोथरुड स्‍टॅण्ड ते मोहकरवाडी,15.3
85-D,Mohakarwadi To Ma Na Pa,मोहकरवाडी ते मनपा,20.8
85-U,Ma Na Pa To Mohakarwadi,मनपा ते मोहकरवाडी  ,20.8
86-R,Kothrud Depot To Kothrud Depot,कोथरुड डेपो ते कोथरुड डेपो,16.9
87-D,Sutarwadi To Deccan Gymkhana (Vai Bhagvatinagar),सुतारवाडी ते डेक्कन जिमखाना (भाग्यवतीनगर),12
87-U,Deccan Gymkhana To Sutarwadi (Vai Bhagvatinagar),डेक्कन जिमखाना ते सुतारवाडी (भाग्यवतीनगर),12
87A-D,SusgaonTo Deccan Gymkhana,सूसगांव ते डेक्कन जिमखाना,15
87A-U,Deccan Gymkhana To Susgaon ,डेक्कन जिमखाना ते सूसगांव,15
87B-D,Sutarwadi Pashan To Mandai,सुतारवाडी ते महात्मा फुले मंडई,10.8
87B-U,Mandai To Sutarwadi Pashan,महात्मा फुले मंडई ते सुतारवाडी,10.8
87C-D,HMR Company To Deccan Gymkhana,एचएमआर कंपनी ते डेक्कन जिमखाना,12.5
87C-U,Deccan Gymkhana To HMR Company,डेक्कन जिमखाना ते एचएमआर कंपनी,12.5
87D-D,Sutarwadi To Deccan Gymkhana (Vai Sai Chowk),सुतारवाडी ते डेक्कन जिमखाना (साई चौक),12
87D-U,Deccan Gymkhana To Sutarwadi (Vai Sai Chowk),डेक्कन जिमखाना ते सुतारवाडी (साई चौक),12
87F-D,Balewadi Mhalunge Phata To Deccan Gymkhana,बालेवाडी म्हाळुंगे फाटा ते डेक्कन जिमखाना,15.5
87F-U,Deccan Gymkhana To Balewadi Mhalunge Phata,डेक्कन जिमखाना ते बालेवाडी म्हाळुंगे फाटा,15.5
88A-D,Swargate To Medi Point,स्वारगेट ते मेडी पॉर्इंट,11.6
88-D,Medi Point To Upper Depot,मेडी पॉर्इंट ते अप्पर डेपो,16.8
88-U,Upper Depot To Medi Point,अप्पर डेपो ते मेडी पॉर्इंट,16.8
89-D,Niljyoti To Swargate,निलज्योती सोसायटी ते स्वारगेट,7.5
89-U,Swargate To Niljyoti,स्वारगेट ते निलज्योती सोसायटी,7.5
8-D,Mhatobachi Alandi To Hadapsar Gadital,म्हातोबाची आंळदी ते हडपसर गाडीतळ,19
8-U,Hadapsar Gadital To Mhatobachi Alandi,हडपसर गाडीतळ ते म्हातोबाची आंळदी,19
90-D,Gokhalenagar To Swargate,गोखलेनगर ते स्वारगेट,7.3
90P-D,Pandavnagar Senapati Bapat Road To Swargate,पांडव नगर ते स्वारगेट,9
90P-U,Swargate To Pandavnagar Senapati Bapat Road,स्वारगेट ते पांडव नगर,9
90-U,Swargate To Gokhalenagar,स्वारगेट ते गोखलेनगर,7.3
91-D,Ishanyanagari To Ma Na Pa,ईशान्यनगरी ते मनपा,9
91-U,Ma Na Pa To Ishanyanagari,मनपा ते ईशान्यनगरी,9
92-D,Pune Station To Gujrat Colony,पुणे स्टेशन ते गुजराथ कॉलनी,9.5
92-U,Gujrat Colony To Pune Station,गुजराथ कॉलनी ते पुणे स्टेशन,9.5
93-D,Pimplenilakh To Deccan Gymkhana,पिंपळे निलख ते डेक्कन जिमखाना,12.6
93-U,Deccan Gymkhana To Pimplenilakh,डेक्कन जिमखाना ते पिंपळे निलख,12.6
94A-D,Vadgaonsheri To Kumbre park,वडगावशेरी ते कुंबरे पार्क,19.1
94A-U,Kumbre park To Vadgaonsheri,कुंबरे पार्क ते वडगावशेरी,19.1
94B-U,Kumbare Park To Pune Station,कुंबरेपार्क ते पुणे स्टेशन,11.2
94-D,Pune Station To Kothrud Depot,पुणे स्टेशन ते कोथरुड डेपो,11.4
94-U,Kothrud Depot To Pune Station,कोथरुड डेपो ते पुणे स्टेशन,11.4
95A-D, Pimplegurav To Gujrat Colony,  पिंपळे गुरवते गुजराथ कॉलनी,18.2
95A-U,Gujrat Colony To  Pimplegurav,गुजराथ कॉलनी ते पिंपळे गुरव ,18.2
95-D,Pimplegurav To Kothrud Depot,पिंपळे गुरव ते कोथरुड डेपो,21.1
95-U,Kothrud Depot To Pimplegurav,कोथरुड डेपो ते पिंपळे गुरव,21.1
96-D,Gharkul Vasahat Warje To Pimplegurav,"वारजे, घरकुल वसाहत ते पिंपळे गुरव",23.3
96-U,Pimplegurav To Gharkul Vasahat Warje,"पिंपळे गुरव ते वारजे, घरकुल वसाहत",23.3
97-D,Sahkarnagar To Warje Malwadi,सहकारनगर ते वारजे माळवाडी,12.5
97-U,Warje Malwadi To Sahkarnagar,वारजे माळवाडी ते सहकारनगर,12.5
9-D,Uruli Railway Station To Hadapsar Gadital,उरूळी रेल्वे स्टेशन ते हडपसर गाडीतळ,27.1
9-U,Hadapsar Gadital To Uruli Railway Station,हडपसर गाडीतळ ते उरूळी रेल्वे स्टेशन,27.1
VJR1-D,Dhayari Maruti Mandir To Hadapsar Gadital,धायरी मारूती मंदिर ते हडपसर गाडीतळ,21.7
VJR1-U,Hadapsar Gadital To Dhayari Maruti Mandir,हडपसर गाडीतळ ते धायरी मारूती मंदिर,21.7
VJR2-D,Kesnand Phata To Warje Malwadi,केसनंद फाटा ते वारजे माळवाडी,29.4
VJR2-U,Warje Malwadi To Kesnand Phata,वारजे माळवाडी ते केसनंद फाटा,29.4
VJR3-D,Hadapsar Gadital To Kothrud Depot,हडपसर गाडीतळ ते कोथरुड डेपो,17.9
VJR3-U,Kothrud Depot To Hadapsar Gadital,कोथरुड डेपो ते हडपसर गाडीतळ,17.9
VJR4-D,Vishrantwadi To Kothrud Depot,विश्रांतवाडी ते कोथरुड डेपो,15.9
VJR4-U,Kothrud Depot To Vishrantwadi,कोथरुड डेपो ते विश्रांतवाडी,15.9
VJR5-D,Mukai Chowk To Ma Na Pa,मुकईचौक ते मनपा,20.6
VJR5-U,Ma Na Pa To Mukai Chowk,मनपा ते मुकईचौक,20.6
VJR6-D,Hinjawadi Maan Phase 3 To Bhosari,हिंजवडी माण फेज ३ ते भोसरी,24
VJR6-U,Bhosari To Hinjawadi Maan Phase 3,भोसरी ते हिंजवडी माण फेज ३,24
VJR2A-U,Kothrud Stand To Kesnand Phata,कोथरुड स्टॅन्ड ते केसनंद फाटा,25.4
14A-D,Kesnand Phata To Swargate ,केसनंद फाटा ते स्वारगेट,19.4
14A-U,Swargate  To Kesnand Phata,स्वारगेट ते केसनंद फाटा,19.4
58B-U,Swargate To Police Ground,स्वारगेट ते पोलिस ग्राउंड,4.5
58B-D,Police Ground To Swargate ,पोलिस ग्राउंड ते स्वारगेट,4.5
103D-U,Katraj To MIT College,कात्रज ते एमआयटी कॉलेज,12.5
103D-D,MIT College To Katraj,एमआयटी कॉलेज ते कात्रज,12.5
363B-D,Sainagar Mamurdi To Nigdi,साईनगर मामुर्डी ते निगडी,8.5
363B-U,Nigdi To Sainagar Mamurdi,निगडी ते साईनगर मामुर्डी,8.5
293S-U,Salunke Vihar To Khed Shivapur,साळुंके विहार ते खेड शिवापुर,21.9
293S-D,Khed Shivapur To Salunke Vihar,खेड शिवापुर ते साळुंके विहार,21.9
139S-U,Salunke Vihar To Bhakti Shakti,साळुंके विहार ते भक्ति शक्ति,26.5
139S-D,Bhakti Shakti To  Salunke Vihar,भक्ति शक्ति ते  भक्ति शक्ति,26.5
135 NGT-D,Kesnand Phata To Pune Station, केसनंद फाटा ते पुणे स्टेशन ,15.3
135 NGT-U,Pune Station To Kesnand Phata , पुणे स्टेशन ते केसनंद फाटा,15.3
117 NGT-D,Dhayari GaonTo Swargate,धायरीगांव  ते स्वारगेट,9.3
117 NGT-U,Swargate To Dhayari Gaon,स्वारगेट ते धायरीगांव  ,9.3
174 NGT-D,Kondhwa Gate To Pune Station,कोंढवा गेट ते पुणे स्टेशन,18.8
174 NGT-U,Pune Station To Kondhwa Gate,पुणे स्टेशन ते कोंढवा गेट,18.8
348 NGT-D, Bhakti Shakti To Pune Station,भक्ति शक्ति डेपो ते पुणे स्टेशन,24
348 NGT-U,Pune Station To Bhakti Shakti,पुणे स्टेशन ते भक्ति शक्ति डेपो,24
12 NGT-D,Bhakti Shakti To  Swargate,भक्ति शक्ति डेपो ते स्वारगेट  ,23
12 NGT-U,Swargate To Bhakti Shakti,स्वारगेट ते भक्ति शक्ति डेपो,23
158B-U,Ma Na Pa To  D.Y. Patil Vidhypith Lohgaon,डी वाय पाटील विद्यापीठ लोहगांव ते मनपा,17.9
158B-D,D.Y. Patil Vidhypith Lohgaon To Ma Na Pa,डी वाय पाटील विद्यापीठ लोहगांव ते मनपा,17.9
19D-U,Trinity College To Shivajinagar,ट्रीनिटी कॉलेज ते शिवाजीनगर,18.1
19D-D,Shivajinagar To Trinity College,शिवाजीनगर ते ट्रीनिटी कॉलेज,18.1
253-D,Vidyanagar To  Upper Depot,विद्यानगर ते अप्पर डेपो ,22.8
253-U,Upper Depot To Vidyanagar,अप्पर डेपो ते विद्यानगर,22.8
